skv,X,Y,Z,H,Ip,Il,W,r,rs,e,WL,Wp,jn,E12mk.w,jw,rd,d0.3,cluster,qname
4,472435.2791002,89871.9238184,17.08,4.0,16.98,-0.4,15.4,1.89,2.71,0.655,39.09,22.11,,9.723459515,23.51,1.64,0.013999999999999999,Q,L.epIII-H
14,472772.78209780005,89870.8343608,15.03,5.5,12.06,-0.39,17.42,2.06,2.71,0.545,34.2,22.14,,23.26145628,23.75,1.75,,Q,L.epIII-H
25,472959.8321326001,89880.6970304,11.85,9.0,10.9,-0.37,17.05,1.9,2.69,0.657,32.0,21.1,,19.35209754,25.87,1.62,,Q,L.epIII-H
25,472959.8321326001,89880.6970304,9.85,11.0,12.35,-0.28,16.91,1.83,2.68,0.7120000000000001,32.69,20.34,,15.59146082,25.41,1.57,,Q,L.epIII-H
20,473110.2251002,89866.5193592,10.1,8.0,10.7,-0.27,17.43,1.94,2.69,0.628,31.0,20.3,,16.6643197,23.51,1.65,,Q,L.epIII-H
7,472547.7701002,89863.8626352,11.34,7.0,15.67,-0.24,17.26,1.9,2.71,0.672,36.64,20.97,,10.21274547,23.03,1.62,0.024,Q,L.epIII-H
25,472959.8321326001,89880.6970304,8.85,12.0,12.62,-0.24,17.35,2.03,2.68,0.5489999999999999,33.0,20.38,,,25.41,1.73,,Q,L.epIII-H
12,472660.2611002,89871.21982,13.21,6.0,9.34,-0.17,18.3,1.95,2.71,0.644,29.22,19.88,,17.55760117,22.57,1.65,,Q,L.epIII-H
17,472997.7341002,89862.48274479999,11.1,8.5,13.05,-0.12,18.55,2.0,2.7,0.6,33.16,20.11,,18.939997199999997,25.41,1.69,,Q,L.epIII-H
14,472772.78209780005,89870.8343608,12.53,8.0,14.4,-0.09,18.89,1.89,2.71,0.705,34.6,20.2,,19.13721648,24.23,1.59,,Q,L.epIII-H
7,472547.7701002,89863.8626352,10.34,8.0,10.79,-0.07,16.3,1.81,2.68,0.722,27.81,17.02,,,25.41,1.56,,Q,L.epIII-H
4,472435.2791002,89871.9238184,13.08,8.0,13.81,-0.06,19.34,1.82,2.71,0.777,33.93,20.12,,8.758311068,23.51,1.53,0.019,Q,L.epIII-H
7,472547.7701002,89863.8626352,9.34,9.0,12.5,-0.02,19.66,1.95,2.7,0.657,32.37,19.87,,,23.75,1.63,,Q,L.epIII-H
14,472772.78209780005,89870.8343608,10.53,10.0,10.16,0.0,18.79,1.95,2.7,0.645,28.99,18.83,,17.17034156,24.55,1.64,,Q,L.epIII-H
18,472997.786596,89870.10359439999,11.82,8.5,11.0,0.0,22.0,1.93,2.69,0.7,33.0,22.0,,19.16451976,23.03,1.58,,Q,L.epIII-H
18,472997.786596,89870.10359439999,10.32,10.0,13.0,0.01,20.1,1.92,2.69,0.6829999999999999,33.0,20.0,,19.80100661,24.22,1.6,,Q,L.epIII-H
25,472959.8321326001,89880.6970304,10.85,10.0,12.16,0.01,18.32,1.84,2.69,0.73,30.3,18.14,,16.32216627,22.78,1.56,,Q,L.epIII-H
4,472435.2791002,89871.9238184,8.08,13.0,14.45,0.02,21.5,1.93,2.69,0.693,35.6,21.15,,25.72026416,24.3,1.59,,Q,L.epIII-H
14,472772.78209780005,89870.8343608,11.53,9.0,11.68,0.06,19.91,1.91,2.69,0.6890000000000001,30.84,19.16,,19.6673537,23.6,1.59,,Q,L.epIII-H
17,472997.7341002,89862.48274479999,9.1,10.5,12.36,0.15,20.84,1.92,2.7,0.6990000000000001,31.31,18.95,,16.77436857,25.33,1.59,,Q,L.epIII-H
18,472997.786596,89870.10359439999,11.32,9.0,11.0,0.23,21.5,1.93,2.69,0.693,30.0,19.0,,15.68936114,23.51,1.59,,Q,L.epIII-H
18,472997.786596,89870.10359439999,9.32,11.0,9.0,0.27,23.44,1.9,2.69,0.748,30.0,21.0,,,21.2,1.54,,Q,L.epIII-H
19,473110.2251002,89863.7100576,5.6,11.8,9.1,0.36,23.3,1.9,2.69,0.746,29.1,20.0,,,19.29,1.54,,Q,L.epIII-H
28?,469274.5144816,90252.248916,31.29,4.75,26.08155863,0.519040155,39.775,1.805,2.704030625,1.093938397,52.31918239,26.23762376,,,21.0,1.291361116,,N,L.epII
174-1,464307.67386064,89780.24760759198,58.13,8.5,29.4,0.75,52.7,1.7,2.71,1.432,60.0,30.6,,,28.0,1.11,,N,edH
233,463082.38739140006,89303.25505759999,37.01,10.5,14.9,0.01,16.9,2.02,2.74,0.5870000000000001,31.7,16.8,,,24.0,1.73,,Q,L.epII
109,462054.699613,89683.9990744,16.55,16.2,26.9,0.11,26.9,1.95,2.7,0.757,50.9,24.0,,,19.0,1.54,,Q,L.epIII-H
217,462472.38994510006,89502.851988,27.26,12.5,12.8,-0.1,16.4,1.83,2.72,0.73,30.5,17.7,,,19.0,1.57,0.036000000000000004,Q,L.epIII-H
26?,469651.04435680003,90252.6919264,27.66,4.5,32.84202252,0.46155562899999997,66.725,1.575,2.55,1.699357143,84.40860215,51.56657963,,,17.0,0.944669366,,N,L.epII
304,460776.5956195001,89817.01595839999,18.22,15.2,36.6,0.31,42.6,1.78,2.75,1.205,67.7,31.1,,,10.0,1.25,,N,L.epI
306,461238.9561277,89789.87320639999,19.52,22.6,15.1,0.32,23.3,2.02,2.71,0.654,33.6,18.5,,,26.0,1.64,,Q,L.epI
3?,472320.56827780005,89868.4118568,16.44,4.15,21.17489153,0.24358738800000002,49.9,1.7125,2.709090909,1.3713443930000002,65.91695502,44.74206349,,,5.0,1.142428286,,N,L.epIII-H
304,460776.5956195001,89817.01595839999,23.02,10.4,45.3,0.19,45.9,1.71,2.79,1.38,82.6,37.3,,,10.0,1.17,,N,L.epI
203,461914.648318,89669.12811199999,18.2,13.3,16.4,0.2,20.0,2.07,2.72,0.58,33.2,16.8,,,23.0,1.72,,Q,L.epIII-H
130,464544.9991231,89835.4069128,57.1,4.1,33.0,0.47,44.4,1.72,2.74,1.3,62.0,29.0,,,14.0,1.19,,N,pH
10?,463961.17083310004,89653.37782079999,57.4,5.0,21.83,0.46,33.5,1.88,2.73,0.9390000000000001,45.31,23.48,12.68,11.98779085,12.7,1.41,,N,edH
17,472997.7341002,89862.48274479999,12.6,7.0,14.37,-0.03,20.12,2.09,2.71,0.5579999999999999,34.93,20.56,,21.15859631,25.17,1.74,,Q,L.epIII-H
233,463082.38739140006,89303.25505759999,27.11,20.4,29.5,0.05,24.2,1.88,2.73,0.8009999999999999,52.1,22.6,,,15.0,1.51,,Q,L.epII
238,463156.39897000004,89215.96862479999,54.24,7.5,20.2,0.18,25.9,1.98,2.73,0.735,42.5,22.3,,,21.0,1.57,,Q,L.epI
305,460998.9003337,89803.8367336,27.94,17.0,24.1,0.32,30.8,1.87,2.72,0.9,47.2,23.1,,,17.0,1.43,,Q,edH
306,461238.9561277,89789.87320639999,27.92,14.2,20.0,0.37,27.5,1.97,2.71,0.754,40.2,20.2,,,17.0,1.54,,Q,L.epI
28?,469274.5144816,90252.248916,26.54,9.5,18.77894486,0.38714570200000004,38.35,1.8075,2.645814494,1.025164234,49.85875706,31.07981221,,,21.0,1.3064691000000002,,Q,L.epII
304,460776.5956195001,89817.01595839999,27.42,6.0,38.0,0.23,42.1,1.78,2.78,1.216,71.4,33.4,,,12.0,1.25,,N,L.epI
16?,471192.6622675,90394.688136,14.31,4.15,19.87303121,0.531074438,39.1,1.825,2.64,1.0121863009999998,48.41897233,28.54594112,,,13.0,1.3120057509999998,,Q,L.epII
162,469909.34994070005,90249.6711576,28.47,2.4,19.0,-0.18,13.2,2.0,2.71,0.534,35.7,16.7,,,17.0,1.77,,Q,L.epII
174-2,464345.38084384,89795.67974772799,60.46,4.5,29.3,0.41,45.4,1.77,2.75,1.258,62.7,33.4,,,21.0,1.22,,N,edH
155,467444.57951311005,90288.84298036,26.12,4.0,24.7,0.0,23.0,2.02,2.65,0.614,47.7,23.0,,,19.0,1.64,,Q,pH
109,462054.699613,89683.9990744,28.15,4.6,21.7,0.26,24.9,2.03,2.74,0.687,41.0,19.3,,,17.0,1.63,,Q,L.epIII-H
303,460584.01102750003,89827.98013119999,15.08,13.6,41.7,0.46,55.9,1.65,2.72,1.571,78.3,36.6,,,24.0,1.06,,N,mIIIkg
23?,470325.77662390005,90252.79498319999,28.31,6.8,20.54,0.27955735,29.00210797,1.795,2.68,0.9260481859999999,43.8,23.26,,,10.0,1.391450131,,Q,edH
21,472496.16672880005,89881.8293168,15.6,6.0,20.73,-0.08,20.23,1.83,2.73,0.794,42.57,21.84,,17.92227098,19.33,1.52,,Q,L.epIII-H
119,462989.24446843006,89339.997135616,29.45,13.8,12.5,-0.11,16.5,1.94,2.72,0.635,30.4,17.9,,,16.0,1.66,0.034,Q,L.epII
209,462136.74304900004,89612.9661712,31.43,2.0,16.6,0.13,19.1,1.99,2.7,0.619,33.6,17.0,,,16.0,1.67,,Q,L.epIII-H
174-2,464345.38084384,89795.67974772799,54.86,10.1,25.8,0.74,50.6,1.65,2.67,1.4269999999999998,57.2,31.4,,,11.0,1.11,,N,edH
119,462989.24446843006,89339.997135616,24.55,18.7,16.5,-0.11,18.9,1.91,2.74,0.7070000000000001,37.2,20.7,,,18.0,1.61,0.021,Q,L.epII
224,462740.50099450006,89415.1158528,37.23,1.3,15.6,0.04,17.4,1.6,2.71,0.99,32.3,16.7,,,10.0,1.36,0.081,Q,L.epIII-H
26?,469651.04435680003,90252.6919264,25.96,6.2,29.06254822,0.50191552,51.325,1.6625,2.64,1.402995489,65.80060423,36.73805601,,,5.0,1.098628779,,N,L.epII
